Wall time,Step,Value
1653740010.846753,0,0.7218999862670898
1653740043.532605,1,0.8339999914169312
1653740088.594787,2,0.8503000140190125
1653740129.698978,3,0.8550999760627747
1653740177.660397,4,0.8607000112533569
1653740214.190164,5,0.8622000217437744
1653740265.485719,6,0.8654999732971191
1653740308.401713,7,0.8684999942779541
1653740351.882148,8,0.8676999807357788
1653740391.477919,9,0.8729000091552734
1653740419.666729,10,0.871399998664856
1653740453.887418,11,0.8763999938964844
1653740481.705666,12,0.8712999820709229
1653740515.822201,13,0.8776000142097473
1653740543.705526,14,0.8751999735832214
1653740578.009541,15,0.8776999711990356
1653740605.336533,16,0.8772000074386597
1653740639.79665,17,0.8779000043869019
1653740666.808398,18,0.8784999847412109
1653740702.658712,19,0.8798999786376953
1653740729.306269,20,0.879800021648407
1653740764.930871,21,0.8819000124931335
1653740791.695478,22,0.8801000118255615
1653740826.329292,23,0.8837000131607056
1653740852.943068,24,0.8816999793052673
1653740887.84848,25,0.883899986743927
1653740914.473732,26,0.8830000162124634
1653740948.611826,27,0.8838000297546387
1653740976.020483,28,0.8844000101089478
1653741009.596451,29,0.8848999738693237
1653741036.492687,30,0.8852999806404114
1653741070.519528,31,0.885699987411499
1653741097.156521,32,0.8849999904632568
1653741132.113046,33,0.8866000175476074
1653741158.937388,34,0.8845000267028809
1653741193.968788,35,0.8877999782562256
1653741221.226289,36,0.885699987411499
1653741255.859013,37,0.8880000114440918
1653741283.173711,38,0.8867999911308289
1653741317.965595,39,0.8888999819755554
1653741344.713243,40,0.8881999850273132
1653741379.253817,41,0.8889999985694885
1653741406.56028,42,0.8870000243186951
1653741440.815061,43,0.88919997215271
1653741467.999636,44,0.8866999745368958
1653741502.676011,45,0.8906999826431274
1653741529.504593,46,0.886900007724762
1653741564.174212,47,0.890999972820282
