Wall time,Step,Value
1653740010.846449,0,0.5387939214706421
1653740043.532309,1,0.363505095243454
1653740088.594486,2,0.32975566387176514
1653740129.698681,3,0.32031622529029846
1653740177.660104,4,0.31110137701034546
1653740214.189876,5,0.3052344024181366
1653740265.485428,6,0.29918357729911804
1653740308.401406,7,0.2944929301738739
1653740351.881617,8,0.2912088930606842
1653740391.477358,9,0.2882808446884155
1653740419.666445,10,0.28459519147872925
1653740453.887021,11,0.2824101746082306
1653740481.705378,12,0.279934287071228
1653740515.821729,13,0.27714306116104126
1653740543.70525,14,0.2750578224658966
1653740578.008949,15,0.2731248438358307
1653740605.336244,16,0.27144908905029297
1653740639.796081,17,0.26996317505836487
1653740666.808111,18,0.2681658864021301
1653740702.658129,19,0.2673531472682953
1653740729.30599,20,0.26585549116134644
1653740764.930591,21,0.26594144105911255
1653740791.695209,22,0.2628123462200165
1653740826.328821,23,0.263109415769577
1653740852.942788,24,0.26058751344680786
1653740887.847884,25,0.26021629571914673
1653740914.473447,26,0.2571466565132141
1653740948.611144,27,0.2581014037132263
1653740976.020199,28,0.2548834979534149
1653741009.596157,29,0.25570693612098694
1653741036.492413,30,0.25311869382858276
1653741070.519237,31,0.2535437047481537
1653741097.156205,32,0.25118857622146606
1653741132.112756,33,0.25201377272605896
1653741158.937065,34,0.24987797439098358
1653741193.968328,35,0.2501011788845062
1653741221.22602,36,0.24794618785381317
1653741255.858509,37,0.24921201169490814
1653741283.173428,38,0.24624137580394745
1653741317.965035,39,0.2482682168483734
1653741344.712962,40,0.2451295107603073
1653741379.253545,41,0.2470642328262329
1653741406.559995,42,0.244110107421875
1653741440.814515,43,0.24653548002243042
1653741467.999371,44,0.24266143143177032
1653741502.67551,45,0.2449830323457718
1653741529.504315,46,0.24174603819847107
1653741564.173669,47,0.24368713796138763
